#Reads:	33249
#Bases:	499572611
#Max:	203889
#Min:	1
#Avg:	15025.2
#Median:	10000
#Mode:	3000
#Std_Dev:	14698.6
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	1293	3.889%	33249	100.000%	698557	0.140%	499572611	100.000%
1000	1613	4.851%	31956	96.111%	2432148	0.487%	498874054	99.860%
2000	1811	5.447%	30343	91.260%	4532848	0.907%	496441906	99.373%
3000	1831	5.507%	28532	85.813%	6391481	1.279%	491909058	98.466%
4000	1723	5.182%	26701	80.306%	7745390	1.550%	485517577	97.187%
5000	1773	5.332%	24978	75.124%	9769574	1.956%	477772187	95.636%
6000	1672	5.029%	23205	69.792%	10866663	2.175%	468002613	93.681%
7000	1653	4.972%	21533	64.763%	12405454	2.483%	457135950	91.505%
8000	1371	4.123%	19880	59.791%	11642695	2.331%	444730496	89.022%
9000	1331	4.003%	18509	55.668%	12629509	2.528%	433087801	86.692%
10000	1294	3.892%	17178	51.665%	13578554	2.718%	420458292	84.164%
11000	1140	3.429%	15884	47.773%	13102700	2.623%	406879738	81.446%
12000	989	2.975%	14744	44.344%	12345657	2.471%	393777038	78.823%
13000	1033	3.107%	13755	41.370%	13934592	2.789%	381431381	76.352%
14000	870	2.617%	12722	38.263%	12599716	2.522%	367496789	73.562%
15000	806	2.424%	11852	35.646%	12492146	2.501%	354897073	71.040%
16000	709	2.132%	11046	33.222%	11699181	2.342%	342404927	68.540%
17000	718	2.159%	10337	31.090%	12568545	2.516%	330705746	66.198%
18000	643	1.934%	9619	28.930%	11893244	2.381%	318137201	63.682%
19000	610	1.835%	8976	26.996%	11885981	2.379%	306243957	61.301%
20000	534	1.606%	8366	25.162%	10943179	2.191%	294357976	58.922%
21000	504	1.516%	7832	23.556%	10834664	2.169%	283414797	56.731%
22000	484	1.456%	7328	22.040%	10892668	2.180%	272580133	54.563%
23000	444	1.335%	6844	20.584%	10422045	2.086%	261687465	52.382%
24000	415	1.248%	6400	19.249%	10161151	2.034%	251265420	50.296%
25000	396	1.191%	5985	18.001%	10084878	2.019%	241104269	48.262%
26000	362	1.089%	5589	16.810%	9596968	1.921%	231019391	46.243%
27000	292	0.878%	5227	15.721%	8028577	1.607%	221422423	44.322%
28000	302	0.908%	4935	14.843%	8598898	1.721%	213393846	42.715%
29000	294	0.884%	4633	13.934%	8680107	1.738%	204794948	40.994%
30000	267	0.803%	4339	13.050%	8141388	1.630%	196114841	39.257%
31000	256	0.770%	4072	12.247%	8062968	1.614%	187973453	37.627%
32000	248	0.746%	3816	11.477%	8057621	1.613%	179910485	36.013%
33000	211	0.635%	3568	10.731%	7059122	1.413%	171852864	34.400%
34000	240	0.722%	3357	10.097%	8272201	1.656%	164793742	32.987%
35000	195	0.586%	3117	9.375%	6923062	1.386%	156521541	31.331%
36000	193	0.580%	2922	8.788%	7042225	1.410%	149598479	29.945%
37000	160	0.481%	2729	8.208%	5998649	1.201%	142556254	28.536%
38000	153	0.460%	2569	7.727%	5890135	1.179%	136557605	27.335%
39000	160	0.481%	2416	7.266%	6314723	1.264%	130667470	26.156%
40000	142	0.427%	2256	6.785%	5751402	1.151%	124352747	24.892%
41000	120	0.361%	2114	6.358%	4977362	0.996%	118601345	23.741%
42000	124	0.373%	1994	5.997%	5267244	1.054%	113623983	22.744%
43000	121	0.364%	1870	5.624%	5261246	1.053%	108356739	21.690%
44000	115	0.346%	1749	5.260%	5114841	1.024%	103095493	20.637%
45000	102	0.307%	1634	4.914%	4637038	0.928%	97980652	19.613%
46000	92	0.277%	1532	4.608%	4279613	0.857%	93343614	18.685%
47000	95	0.286%	1440	4.331%	4508702	0.903%	89064001	17.828%
48000	89	0.268%	1345	4.045%	4318567	0.864%	84555299	16.926%
49000	80	0.241%	1256	3.778%	3956303	0.792%	80236732	16.061%
50000	75	0.226%	1176	3.537%	3786460	0.758%	76280429	15.269%
51000	70	0.211%	1101	3.311%	3603643	0.721%	72493969	14.511%
52000	65	0.195%	1031	3.101%	3412509	0.683%	68890326	13.790%
53000	54	0.162%	966	2.905%	2888578	0.578%	65477817	13.107%
54000	66	0.199%	912	2.743%	3600804	0.721%	62589239	12.529%
55000	56	0.168%	846	2.544%	3104536	0.621%	58988435	11.808%
56000	64	0.192%	790	2.376%	3617372	0.724%	55883899	11.186%
57000	47	0.141%	726	2.184%	2701112	0.541%	52266527	10.462%
58000	37	0.111%	679	2.042%	2164216	0.433%	49565415	9.922%
59000	37	0.111%	642	1.931%	2202257	0.441%	47401199	9.488%
60000	37	0.111%	605	1.820%	2237447	0.448%	45198942	9.048%
61000	42	0.126%	568	1.708%	2583407	0.517%	42961495	8.600%
62000	28	0.084%	526	1.582%	1752313	0.351%	40378088	8.083%
63000	36	0.108%	498	1.498%	2286574	0.458%	38625775	7.732%
64000	36	0.108%	462	1.390%	2321054	0.465%	36339201	7.274%
65000	26	0.078%	426	1.281%	1701388	0.341%	34018147	6.809%
66000	31	0.093%	400	1.203%	2060861	0.413%	32316759	6.469%
67000	25	0.075%	369	1.110%	1688379	0.338%	30255898	6.056%
68000	27	0.081%	344	1.035%	1852300	0.371%	28567519	5.718%
69000	22	0.066%	317	0.953%	1528304	0.306%	26715219	5.348%
70000	22	0.066%	295	0.887%	1551248	0.311%	25186915	5.042%
71000	19	0.057%	273	0.821%	1359728	0.272%	23635667	4.731%
72000	22	0.066%	254	0.764%	1595891	0.319%	22275939	4.459%
73000	15	0.045%	232	0.698%	1102812	0.221%	20680048	4.140%
74000	11	0.033%	217	0.653%	819340	0.164%	19577236	3.919%
75000	14	0.042%	206	0.620%	1056216	0.211%	18757896	3.755%
76000	14	0.042%	192	0.577%	1069796	0.214%	17701680	3.543%
77000	11	0.033%	178	0.535%	852018	0.171%	16631884	3.329%
78000	13	0.039%	167	0.502%	1020810	0.204%	15779866	3.159%
79000	8	0.024%	154	0.463%	636807	0.127%	14759056	2.954%
80000	10	0.030%	146	0.439%	806190	0.161%	14122249	2.827%
