#Reads:	983320
#Bases:	14711873329
#Max:	225855
#Min:	1
#Avg:	14961.4
#Median:	10000
#Mode:	3000
#Std_Dev:	14583.2
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	39192	3.986%	983320	100.000%	21621853	0.147%	14711873329	100.000%
1000	47966	4.878%	944128	96.014%	72416947	0.492%	14690251476	99.853%
2000	52976	5.387%	896162	91.136%	132540466	0.901%	14617834529	99.361%
3000	54225	5.514%	843186	85.749%	189851735	1.290%	14485294063	98.460%
4000	52079	5.296%	788961	80.234%	234155477	1.592%	14295442328	97.169%
5000	50180	5.103%	736882	74.938%	275945780	1.876%	14061286851	95.578%
6000	48253	4.907%	686702	69.835%	313452544	2.131%	13785341071	93.702%
7000	45929	4.671%	638449	64.928%	344203026	2.340%	13471888527	91.572%
8000	42808	4.353%	592520	60.257%	363651908	2.472%	13127685501	89.232%
9000	40184	4.087%	549712	55.904%	381294190	2.592%	12764033593	86.760%
10000	37328	3.796%	509528	51.817%	391584504	2.662%	12382739403	84.168%
11000	34528	3.511%	472200	48.021%	396876447	2.698%	11991154899	81.507%
12000	31760	3.230%	437672	44.510%	396855064	2.698%	11594278452	78.809%
13000	29177	2.967%	405912	41.280%	393746973	2.676%	11197423388	76.111%
14000	26607	2.706%	376735	38.313%	385646044	2.621%	10803676415	73.435%
15000	24670	2.509%	350128	35.607%	382225171	2.598%	10418030371	70.814%
16000	22371	2.275%	325458	33.098%	368959511	2.508%	10035805200	68.216%
17000	20891	2.125%	303087	30.823%	365473728	2.484%	9666845689	65.708%
18000	19029	1.935%	282196	28.698%	351875635	2.392%	9301371961	63.224%
19000	17882	1.819%	263167	26.763%	348607752	2.370%	8949496326	60.832%
20000	16526	1.681%	245285	24.945%	338651805	2.302%	8600888574	58.462%
21000	15092	1.535%	228759	23.264%	324309776	2.204%	8262236769	56.160%
22000	14033	1.427%	213667	21.729%	315691840	2.146%	7937926993	53.956%
23000	13087	1.331%	199634	20.302%	307490027	2.090%	7622235153	51.810%
24000	12142	1.235%	186547	18.971%	297352540	2.021%	7314745126	49.720%
25000	11211	1.140%	174405	17.736%	285829528	1.943%	7017392586	47.699%
26000	10439	1.062%	163194	16.596%	276579380	1.880%	6731563058	45.756%
27000	9839	1.001%	152755	15.535%	270494733	1.839%	6454983678	43.876%
28000	8987	0.914%	142916	14.534%	256050632	1.740%	6184488945	42.037%
29000	8458	0.860%	133929	13.620%	249438782	1.695%	5928438313	40.297%
30000	7745	0.788%	125471	12.760%	236168093	1.605%	5678999531	38.601%
31000	7319	0.744%	117726	11.972%	230510026	1.567%	5442831438	36.996%
32000	6854	0.697%	110407	11.228%	222685402	1.514%	5212321412	35.429%
33000	6497	0.661%	103553	10.531%	217602954	1.479%	4989636010	33.916%
34000	6277	0.638%	97056	9.870%	216541030	1.472%	4772033056	32.437%
35000	5668	0.576%	90779	9.232%	201195017	1.368%	4555492026	30.965%
36000	5325	0.542%	85111	8.655%	194385129	1.321%	4354297009	29.597%
37000	5085	0.517%	79786	8.114%	190688542	1.296%	4159911880	28.276%
38000	4821	0.490%	74701	7.597%	185563742	1.261%	3969223338	26.980%
39000	4427	0.450%	69880	7.107%	174865681	1.189%	3783659596	25.718%
40000	4115	0.418%	65453	6.656%	166669456	1.133%	3608793915	24.530%
41000	3788	0.385%	61338	6.238%	157169658	1.068%	3442124459	23.397%
42000	3574	0.363%	57550	5.853%	151856697	1.032%	3284954801	22.329%
43000	3300	0.336%	53976	5.489%	143541286	0.976%	3133098104	21.296%
44000	3268	0.332%	50676	5.154%	145395651	0.988%	2989556818	20.321%
45000	2972	0.302%	47408	4.821%	135191411	0.919%	2844161167	19.332%
46000	2820	0.287%	44436	4.519%	131096085	0.891%	2708969756	18.413%
47000	2639	0.268%	41616	4.232%	125331257	0.852%	2577873671	17.522%
48000	2463	0.250%	38977	3.964%	119447371	0.812%	2452542414	16.670%
49000	2351	0.239%	36514	3.713%	116362848	0.791%	2333095043	15.859%
50000	2201	0.224%	34163	3.474%	111125946	0.755%	2216732195	15.068%
51000	2012	0.205%	31962	3.250%	103604276	0.704%	2105606249	14.312%
52000	1977	0.201%	29950	3.046%	103778485	0.705%	2002001973	13.608%
53000	1788	0.182%	27973	2.845%	95657117	0.650%	1898223488	12.903%
54000	1749	0.178%	26185	2.663%	95328679	0.648%	1802566371	12.252%
55000	1527	0.155%	24436	2.485%	84731630	0.576%	1707237692	11.604%
56000	1507	0.153%	22909	2.330%	85128151	0.579%	1622506062	11.029%
57000	1280	0.130%	21402	2.177%	73592787	0.500%	1537377911	10.450%
58000	1296	0.132%	20122	2.046%	75813522	0.515%	1463785124	9.950%
59000	1242	0.126%	18826	1.915%	73886115	0.502%	1387971602	9.434%
60000	1145	0.116%	17584	1.788%	69242945	0.471%	1314085487	8.932%
61000	1110	0.113%	16439	1.672%	68264822	0.464%	1244842542	8.461%
62000	1004	0.102%	15329	1.559%	62736865	0.426%	1176577720	7.997%
63000	908	0.092%	14325	1.457%	57655403	0.392%	1113840855	7.571%
64000	902	0.092%	13417	1.364%	58173547	0.395%	1056185452	7.179%
65000	824	0.084%	12515	1.273%	53970698	0.367%	998011905	6.784%
66000	785	0.080%	11691	1.189%	52205894	0.355%	944041207	6.417%
67000	691	0.070%	10906	1.109%	46622186	0.317%	891835313	6.062%
68000	691	0.070%	10215	1.039%	47333812	0.322%	845213127	5.745%
69000	674	0.069%	9524	0.969%	46838929	0.318%	797879315	5.423%
70000	605	0.062%	8850	0.900%	42655973	0.290%	751040386	5.105%
71000	564	0.057%	8245	0.838%	40322513	0.274%	708384413	4.815%
72000	491	0.050%	7681	0.781%	35597712	0.242%	668061900	4.541%
73000	488	0.050%	7190	0.731%	35860360	0.244%	632464188	4.299%
74000	433	0.044%	6702	0.682%	32254872	0.219%	596603828	4.055%
75000	403	0.041%	6269	0.638%	30415785	0.207%	564348956	3.836%
76000	394	0.040%	5866	0.597%	30143765	0.205%	533933171	3.629%
77000	383	0.039%	5472	0.556%	29687692	0.202%	503789406	3.424%
78000	315	0.032%	5089	0.518%	24718372	0.168%	474101714	3.223%
79000	318	0.032%	4774	0.485%	25280866	0.172%	449383342	3.055%
80000	295	0.030%	4456	0.453%	23751038	0.161%	424102476	2.883%
81000	278	0.028%	4161	0.423%	22649660	0.154%	400351438	2.721%
82000	305	0.031%	3883	0.395%	25165312	0.171%	377701778	2.567%
83000	241	0.025%	3578	0.364%	20128671	0.137%	352536466	2.396%
84000	228	0.023%	3337	0.339%	19271354	0.131%	332407795	2.259%
85000	212	0.022%	3109	0.316%	18120910	0.123%	313136441	2.128%
86000	189	0.019%	2897	0.295%	16348503	0.111%	295015531	2.005%
87000	157	0.016%	2708	0.275%	13737852	0.093%	278667028	1.894%
88000	178	0.018%	2551	0.259%	15749290	0.107%	264929176	1.801%
89000	181	0.018%	2373	0.241%	16196885	0.110%	249179886	1.694%
90000	125	0.013%	2192	0.223%	11319676	0.077%	232983001	1.584%
91000	134	0.014%	2067	0.210%	12264827	0.083%	221663325	1.507%
92000	112	0.011%	1933	0.197%	10357071	0.070%	209398498	1.423%
93000	125	0.013%	1821	0.185%	11687223	0.079%	199041427	1.353%
94000	103	0.010%	1696	0.172%	9732033	0.066%	187354204	1.273%
95000	101	0.010%	1593	0.162%	9646509	0.066%	177622171	1.207%
96000	93	0.009%	1492	0.152%	8972891	0.061%	167975662	1.142%
97000	90	0.009%	1399	0.142%	8776117	0.060%	159002771	1.081%
98000	81	0.008%	1309	0.133%	7980942	0.054%	150226654	1.021%
99000	84	0.009%	1228	0.125%	8358171	0.057%	142245712	0.967%
100000	82	0.008%	1144	0.116%	8239084	0.056%	133887541	0.910%
101000	68	0.007%	1062	0.108%	6904782	0.047%	125648457	0.854%
102000	69	0.007%	994	0.101%	7071111	0.048%	118743675	0.807%
103000	39	0.004%	925	0.094%	4037346	0.027%	111672564	0.759%
104000	53	0.005%	886	0.090%	5540938	0.038%	107635218	0.732%
105000	61	0.006%	833	0.085%	6435648	0.044%	102094280	0.694%
106000	48	0.005%	772	0.079%	5111650	0.035%	95658632	0.650%
107000	37	0.004%	724	0.074%	3976796	0.027%	90546982	0.615%
108000	43	0.004%	687	0.070%	4663173	0.032%	86570186	0.588%
109000	43	0.004%	644	0.065%	4708014	0.032%	81907013	0.557%
110000	32	0.003%	601	0.061%	3534563	0.024%	77198999	0.525%
111000	35	0.004%	569	0.058%	3901606	0.027%	73664436	0.501%
112000	22	0.002%	534	0.054%	2473563	0.017%	69762830	0.474%
113000	24	0.002%	512	0.052%	2723442	0.019%	67289267	0.457%
114000	26	0.003%	488	0.050%	2975501	0.020%	64565825	0.439%
115000	19	0.002%	462	0.047%	2192362	0.015%	61590324	0.419%
116000	31	0.003%	443	0.045%	3609194	0.025%	59397962	0.404%
117000	18	0.002%	412	0.042%	2116010	0.014%	55788768	0.379%
118000	15	0.002%	394	0.040%	1779067	0.012%	53672758	0.365%
119000	24	0.002%	379	0.039%	2869477	0.020%	51893691	0.353%
120000	14	0.001%	355	0.036%	1687034	0.011%	49024214	0.333%
121000	20	0.002%	341	0.035%	2428308	0.017%	47337180	0.322%
122000	18	0.002%	321	0.033%	2205209	0.015%	44908872	0.305%
123000	17	0.002%	303	0.031%	2099049	0.014%	42703663	0.290%
124000	23	0.002%	286	0.029%	2864163	0.019%	40604614	0.276%
125000	16	0.002%	263	0.027%	2008136	0.014%	37740451	0.257%
126000	11	0.001%	247	0.025%	1391317	0.009%	35732315	0.243%
127000	16	0.002%	236	0.024%	2041280	0.014%	34340998	0.233%
128000	16	0.002%	220	0.022%	2055517	0.014%	32299718	0.220%
129000	10	0.001%	204	0.021%	1296029	0.009%	30244201	0.206%
130000	15	0.002%	194	0.020%	1956684	0.013%	28948172	0.197%
131000	12	0.001%	179	0.018%	1577139	0.011%	26991488	0.183%
132000	8	0.001%	167	0.017%	1060194	0.007%	25414349	0.173%
133000	5	0.001%	159	0.016%	666809	0.005%	24354155	0.166%
134000	9	0.001%	154	0.016%	1211456	0.008%	23687346	0.161%
