#Reads:	26079
#Bases:	235799893
#Max:	226030
#Min:	1
#Avg:	9041.8
#Median:	4000
#Mode:	0
#Std_Dev:	14294.2
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	5291	20.288%	26079	100.000%	2638982	1.119%	235799893	100.000%
1000	3362	12.892%	20788	79.712%	4950413	2.099%	233160911	98.881%
2000	2474	9.487%	17426	66.820%	6123558	2.597%	228210498	96.781%
3000	1888	7.240%	14952	57.333%	6579802	2.790%	222086940	94.184%
4000	1531	5.871%	13064	50.094%	6869553	2.913%	215507138	91.394%
5000	1305	5.004%	11533	44.223%	7125659	3.022%	208637585	88.481%
6000	987	3.785%	10228	39.219%	6404430	2.716%	201511926	85.459%
7000	852	3.267%	9241	35.435%	6381185	2.706%	195107496	82.743%
8000	768	2.945%	8389	32.168%	6517247	2.764%	188726311	80.037%
9000	634	2.431%	7621	29.223%	6004496	2.546%	182209064	77.273%
10000	534	2.048%	6987	26.792%	5601931	2.376%	176204568	74.726%
11000	535	2.051%	6453	24.744%	6148472	2.607%	170602637	72.351%
12000	470	1.802%	5918	22.693%	5868988	2.489%	164454165	69.743%
13000	431	1.653%	5448	20.890%	5807315	2.463%	158585177	67.254%
14000	415	1.591%	5017	19.238%	6011700	2.549%	152777862	64.791%
15000	347	1.331%	4602	17.646%	5374255	2.279%	146766162	62.242%
16000	335	1.285%	4255	16.316%	5529066	2.345%	141391907	59.963%
17000	315	1.208%	3920	15.031%	5518806	2.340%	135862841	57.618%
18000	260	0.997%	3605	13.823%	4809931	2.040%	130344035	55.277%
19000	261	1.001%	3345	12.826%	5080402	2.155%	125534104	53.238%
20000	231	0.886%	3084	11.826%	4737754	2.009%	120453702	51.083%
21000	222	0.851%	2853	10.940%	4775290	2.025%	115715948	49.074%
22000	220	0.844%	2631	10.089%	4945059	2.097%	110940658	47.049%
23000	156	0.598%	2411	9.245%	3664066	1.554%	105995599	44.952%
24000	141	0.541%	2255	8.647%	3454452	1.465%	102331533	43.398%
25000	118	0.452%	2114	8.106%	3006779	1.275%	98877081	41.933%
26000	87	0.334%	1996	7.654%	2301597	0.976%	95870302	40.657%
27000	111	0.426%	1909	7.320%	3055135	1.296%	93568705	39.681%
28000	101	0.387%	1798	6.894%	2879170	1.221%	90513570	38.386%
29000	71	0.272%	1697	6.507%	2090311	0.886%	87634400	37.165%
30000	77	0.295%	1626	6.235%	2346994	0.995%	85544089	36.278%
31000	81	0.311%	1549	5.940%	2554002	1.083%	83197095	35.283%
32000	64	0.245%	1468	5.629%	2079628	0.882%	80643093	34.200%
33000	66	0.253%	1404	5.384%	2216143	0.940%	78563465	33.318%
34000	65	0.249%	1338	5.131%	2243890	0.952%	76347322	32.378%
35000	67	0.257%	1273	4.881%	2377107	1.008%	74103432	31.426%
36000	54	0.207%	1206	4.624%	1967685	0.834%	71726325	30.418%
37000	55	0.211%	1152	4.417%	2063930	0.875%	69758640	29.584%
38000	48	0.184%	1097	4.206%	1847308	0.783%	67694710	28.709%
39000	52	0.199%	1049	4.022%	2054378	0.871%	65847402	27.925%
40000	42	0.161%	997	3.823%	1701948	0.722%	63793024	27.054%
41000	40	0.153%	955	3.662%	1659820	0.704%	62091076	26.332%
42000	41	0.157%	915	3.509%	1741568	0.739%	60431256	25.628%
43000	33	0.127%	874	3.351%	1435183	0.609%	58689688	24.890%
44000	41	0.157%	841	3.225%	1822130	0.773%	57254505	24.281%
45000	46	0.176%	800	3.068%	2093472	0.888%	55432375	23.508%
46000	25	0.096%	754	2.891%	1163521	0.493%	53338903	22.620%
47000	28	0.107%	729	2.795%	1330021	0.564%	52175382	22.127%
48000	27	0.104%	701	2.688%	1310296	0.556%	50845361	21.563%
49000	23	0.088%	674	2.584%	1138133	0.483%	49535065	21.007%
50000	28	0.107%	651	2.496%	1413998	0.600%	48396932	20.525%
51000	34	0.130%	623	2.389%	1748685	0.742%	46982934	19.925%
52000	29	0.111%	589	2.259%	1523359	0.646%	45234249	19.183%
53000	32	0.123%	560	2.147%	1714343	0.727%	43710890	18.537%
54000	11	0.042%	528	2.025%	599349	0.254%	41996547	17.810%
55000	24	0.092%	517	1.982%	1331879	0.565%	41397198	17.556%
56000	20	0.077%	493	1.890%	1126582	0.478%	40065319	16.991%
57000	29	0.111%	473	1.814%	1667153	0.707%	38938737	16.513%
58000	7	0.027%	444	1.703%	409040	0.173%	37271584	15.806%
59000	22	0.084%	437	1.676%	1307205	0.554%	36862544	15.633%
60000	18	0.069%	415	1.591%	1087674	0.461%	35555339	15.079%
61000	13	0.050%	397	1.522%	800298	0.339%	34467665	14.617%
62000	17	0.065%	384	1.472%	1062312	0.451%	33667367	14.278%
63000	16	0.061%	367	1.407%	1018359	0.432%	32605055	13.827%
64000	22	0.084%	351	1.346%	1423151	0.604%	31586696	13.396%
65000	8	0.031%	329	1.262%	525210	0.223%	30163545	12.792%
66000	12	0.046%	321	1.231%	798513	0.339%	29638335	12.569%
67000	16	0.061%	309	1.185%	1078534	0.457%	28839822	12.231%
68000	15	0.058%	293	1.124%	1027974	0.436%	27761288	11.773%
