#Reads:	26208
#Bases:	496069478
#Max:	106357
#Min:	50
#Avg:	18928.2
#Median:	13000
#Mode:	0
#Std_Dev:	17289.8
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	2412	9.203%	26208	100.000%	1033523	0.208%	496069478	100.000%
1000	1365	5.208%	23796	90.797%	2014672	0.406%	495035955	99.792%
2000	1113	4.247%	22431	85.588%	2759169	0.556%	493021283	99.386%
3000	1028	3.922%	21318	81.342%	3591034	0.724%	490262114	98.829%
4000	914	3.487%	20290	77.419%	4109595	0.828%	486671080	98.105%
5000	911	3.476%	19376	73.932%	5001280	1.008%	482561485	97.277%
6000	768	2.930%	18465	70.456%	4984859	1.005%	477560205	96.269%
7000	716	2.732%	17697	67.525%	5368878	1.082%	472575346	95.264%
8000	714	2.724%	16981	64.793%	6064020	1.222%	467206468	94.182%
9000	699	2.667%	16267	62.069%	6633423	1.337%	461142448	92.959%
10000	695	2.652%	15568	59.402%	7286601	1.469%	454509025	91.622%
11000	644	2.457%	14873	56.750%	7399026	1.492%	447222424	90.153%
12000	601	2.293%	14229	54.293%	7510315	1.514%	439823398	88.662%
13000	578	2.205%	13628	51.999%	7798209	1.572%	432313083	87.148%
14000	515	1.965%	13050	49.794%	7467577	1.505%	424514874	85.576%
15000	494	1.885%	12535	47.829%	7655965	1.543%	417047297	84.070%
16000	513	1.957%	12041	45.944%	8467682	1.707%	409391332	82.527%
17000	469	1.790%	11528	43.987%	8207992	1.655%	400923650	80.820%
18000	429	1.637%	11059	42.197%	7934258	1.599%	392715658	79.165%
19000	442	1.687%	10630	40.560%	8613638	1.736%	384781400	77.566%
20000	451	1.721%	10188	38.874%	9252376	1.865%	376167762	75.830%
21000	414	1.580%	9737	37.153%	8887045	1.791%	366915386	73.965%
22000	394	1.503%	9323	35.573%	8865930	1.787%	358028341	72.173%
23000	386	1.473%	8929	34.070%	9075209	1.829%	349162411	70.386%
24000	417	1.591%	8543	32.597%	10213997	2.059%	340087202	68.556%
25000	375	1.431%	8126	31.006%	9554629	1.926%	329873205	66.497%
26000	359	1.370%	7751	29.575%	9506966	1.916%	320318576	64.571%
27000	357	1.362%	7392	28.205%	9811969	1.978%	310811610	62.655%
28000	394	1.503%	7035	26.843%	11230575	2.264%	300999641	60.677%
29000	338	1.290%	6641	25.340%	9966188	2.009%	289769066	58.413%
30000	348	1.328%	6303	24.050%	10606886	2.138%	279802878	56.404%
31000	330	1.259%	5955	22.722%	10395096	2.095%	269195992	54.266%
32000	315	1.202%	5625	21.463%	10234328	2.063%	258800896	52.170%
33000	308	1.175%	5310	20.261%	10320908	2.081%	248566568	50.107%
34000	293	1.118%	5002	19.086%	10113383	2.039%	238245660	48.027%
35000	286	1.091%	4709	17.968%	10149478	2.046%	228132277	45.988%
36000	257	0.981%	4423	16.877%	9377535	1.890%	217982799	43.942%
37000	258	0.984%	4166	15.896%	9670112	1.949%	208605264	42.052%
38000	257	0.981%	3908	14.911%	9894533	1.995%	198935152	40.102%
39000	232	0.885%	3651	13.931%	9167210	1.848%	189040619	38.108%
40000	205	0.782%	3419	13.046%	8302789	1.674%	179873409	36.260%
41000	221	0.843%	3214	12.263%	9166479	1.848%	171570620	34.586%
42000	199	0.759%	2993	11.420%	8454484	1.704%	162404141	32.738%
43000	215	0.820%	2794	10.661%	9345075	1.884%	153949657	31.034%
44000	176	0.672%	2579	9.841%	7821934	1.577%	144604582	29.150%
45000	163	0.622%	2403	9.169%	7421692	1.496%	136782648	27.573%
46000	140	0.534%	2240	8.547%	6507126	1.312%	129360956	26.077%
47000	170	0.649%	2100	8.013%	8068614	1.627%	122853830	24.765%
48000	126	0.481%	1930	7.364%	6103960	1.230%	114785216	23.139%
49000	134	0.511%	1804	6.883%	6632744	1.337%	108681256	21.908%
50000	130	0.496%	1670	6.372%	6563307	1.323%	102048512	20.571%
51000	118	0.450%	1540	5.876%	6077733	1.225%	95485205	19.248%
52000	139	0.530%	1422	5.426%	7294030	1.470%	89407472	18.023%
53000	91	0.347%	1283	4.895%	4862542	0.980%	82113442	16.553%
54000	95	0.362%	1192	4.548%	5176759	1.044%	77250900	15.573%
55000	86	0.328%	1097	4.186%	4771710	0.962%	72074141	14.529%
56000	102	0.389%	1011	3.858%	5765090	1.162%	67302431	13.567%
57000	69	0.263%	909	3.468%	3972788	0.801%	61537341	12.405%
58000	75	0.286%	840	3.205%	4386437	0.884%	57564553	11.604%
59000	57	0.217%	765	2.919%	3393506	0.684%	53178116	10.720%
60000	61	0.233%	708	2.701%	3691894	0.744%	49784610	10.036%
61000	52	0.198%	647	2.469%	3198706	0.645%	46092716	9.292%
62000	47	0.179%	595	2.270%	2936543	0.592%	42894010	8.647%
63000	41	0.156%	548	2.091%	2604151	0.525%	39957467	8.055%
64000	45	0.172%	507	1.935%	2903176	0.585%	37353316	7.530%
65000	33	0.126%	462	1.763%	2161148	0.436%	34450140	6.945%
66000	35	0.134%	429	1.637%	2326296	0.469%	32288992	6.509%
67000	37	0.141%	394	1.503%	2497651	0.503%	29962696	6.040%
68000	30	0.114%	357	1.362%	2054807	0.414%	27465045	5.537%
69000	30	0.114%	327	1.248%	2084594	0.420%	25410238	5.122%
70000	41	0.156%	297	1.133%	2889924	0.583%	23325644	4.702%
71000	21	0.080%	256	0.977%	1501174	0.303%	20435720	4.120%
72000	24	0.092%	235	0.897%	1739404	0.351%	18934546	3.817%
73000	19	0.072%	211	0.805%	1397825	0.282%	17195142	3.466%
74000	23	0.088%	192	0.733%	1712817	0.345%	15797317	3.184%
75000	17	0.065%	169	0.645%	1283560	0.259%	14084500	2.839%
76000	25	0.095%	152	0.580%	1913928	0.386%	12800940	2.580%
77000	14	0.053%	127	0.485%	1083501	0.218%	10887012	2.195%
78000	9	0.034%	113	0.431%	707256	0.143%	9803511	1.976%
79000	5	0.019%	104	0.397%	398150	0.080%	9096255	1.834%
80000	9	0.034%	99	0.378%	725110	0.146%	8698105	1.753%
81000	8	0.031%	90	0.343%	651660	0.131%	7972995	1.607%
82000	7	0.027%	82	0.313%	578208	0.117%	7321335	1.476%
83000	12	0.046%	75	0.286%	1001053	0.202%	6743127	1.359%
84000	10	0.038%	63	0.240%	845159	0.170%	5742074	1.158%
85000	5	0.019%	53	0.202%	426531	0.086%	4896915	0.987%
86000	5	0.019%	48	0.183%	431958	0.087%	4470384	0.901%
87000	3	0.011%	43	0.164%	261590	0.053%	4038426	0.814%
88000	6	0.023%	40	0.153%	530393	0.107%	3776836	0.761%
89000	3	0.011%	34	0.130%	268819	0.054%	3246443	0.654%
90000	3	0.011%	31	0.118%	271402	0.055%	2977624	0.600%
91000	6	0.023%	28	0.107%	549630	0.111%	2706222	0.546%
92000	4	0.015%	22	0.084%	370275	0.075%	2156592	0.435%
93000	1	0.004%	18	0.069%	93514	0.019%	1786317	0.360%
94000	3	0.011%	17	0.065%	283763	0.057%	1692803	0.341%
96000	1	0.004%	14	0.053%	96260	0.019%	1409040	0.284%
97000	2	0.008%	13	0.050%	195111	0.039%	1312780	0.265%
98000	1	0.004%	11	0.042%	98095	0.020%	1117669	0.225%
99000	1	0.004%	10	0.038%	99209	0.020%	1019574	0.206%
100000	3	0.011%	9	0.034%	301290	0.061%	920365	0.186%
101000	2	0.008%	6	0.023%	203019	0.041%	619075	0.125%
102000	1	0.004%	4	0.015%	102357	0.021%	416056	0.084%
103000	2	0.008%	3	0.011%	207342	0.042%	313699	0.063%
106000	1	0.004%	1	0.004%	106357	0.021%	106357	0.021%
