#Reads:	3383930
#Bases:	63970329624
#Max:	151906
#Min:	50
#Avg:	18904.2
#Median:	13000
#Mode:	0
#Std_Dev:	17347.7
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	313060	9.251%	3383930	100.000%	135997047	0.213%	63970329624	100.000%
1000	172315	5.092%	3070870	90.749%	255553771	0.399%	63834332577	99.787%
2000	149615	4.421%	2898555	85.656%	372609129	0.582%	63578778806	99.388%
3000	133959	3.959%	2748940	81.235%	467372923	0.731%	63206169677	98.805%
4000	121484	3.590%	2614981	77.276%	545873214	0.853%	62738796754	98.075%
5000	112974	3.339%	2493497	73.686%	620632907	0.970%	62192923540	97.222%
6000	105407	3.115%	2380523	70.348%	684484169	1.070%	61572290633	96.251%
7000	98925	2.923%	2275116	67.233%	741353595	1.159%	60887806464	95.181%
8000	92831	2.743%	2176191	64.310%	788580549	1.233%	60146452869	94.022%
9000	87749	2.593%	2083360	61.566%	833175373	1.302%	59357872320	92.790%
10000	82954	2.451%	1995611	58.973%	870604300	1.361%	58524696947	91.487%
11000	78737	2.327%	1912657	56.522%	905162321	1.415%	57654092647	90.126%
12000	74558	2.203%	1833920	54.195%	931573946	1.456%	56748930326	88.711%
13000	71349	2.108%	1759362	51.992%	962902733	1.505%	55817356380	87.255%
14000	68855	2.035%	1688013	49.883%	998143792	1.560%	54854453647	85.750%
15000	65887	1.947%	1619158	47.848%	1021001261	1.596%	53856309855	84.190%
16000	63125	1.865%	1553271	45.901%	1041377023	1.628%	52835308594	82.593%
17000	61264	1.810%	1490146	44.036%	1071945686	1.676%	51793931571	80.966%
18000	59899	1.770%	1428882	42.226%	1107892019	1.732%	50721985885	79.290%
19000	57706	1.705%	1368983	40.455%	1125116800	1.759%	49614093866	77.558%
20000	57019	1.685%	1311277	38.750%	1168630256	1.827%	48488977066	75.799%
21000	55188	1.631%	1254258	37.065%	1186322604	1.854%	47320346810	73.972%
22000	54143	1.600%	1199070	35.434%	1218047068	1.904%	46134024206	72.118%
23000	52405	1.549%	1144927	33.834%	1231435827	1.925%	44915977138	70.214%
24000	51270	1.515%	1092522	32.286%	1255994344	1.963%	43684541311	68.289%
25000	49535	1.464%	1041252	30.770%	1263012404	1.974%	42428546967	66.325%
26000	47968	1.418%	991717	29.307%	1271038692	1.987%	41165534563	64.351%
27000	47337	1.399%	943749	27.889%	1301638415	2.035%	39894495871	62.364%
28000	45898	1.356%	896412	26.490%	1307984512	2.045%	38592857456	60.329%
29000	44254	1.308%	850514	25.134%	1305345237	2.041%	37284872944	58.285%
30000	42944	1.269%	806260	23.826%	1309695847	2.047%	35979527707	56.244%
31000	41305	1.221%	763316	22.557%	1301051127	2.034%	34669831860	54.197%
32000	40110	1.185%	722011	21.336%	1303447050	2.038%	33368780733	52.163%
33000	38424	1.135%	681901	20.151%	1287162033	2.012%	32065333683	50.125%
34000	37139	1.098%	643477	19.016%	1281107672	2.003%	30778171650	48.113%
35000	35370	1.045%	606338	17.918%	1255485342	1.963%	29497063978	46.111%
36000	34411	1.017%	570968	16.873%	1255881991	1.963%	28241578636	44.148%
37000	33056	0.977%	536557	15.856%	1239365751	1.937%	26985696645	42.185%
38000	30760	0.909%	503501	14.879%	1184137112	1.851%	25746330894	40.247%
39000	29574	0.874%	472741	13.970%	1168092767	1.826%	24562193782	38.396%
40000	28133	0.831%	443167	13.096%	1139337097	1.781%	23394101015	36.570%
41000	26869	0.794%	415034	12.265%	1114913342	1.743%	22254763918	34.789%
42000	25765	0.761%	388165	11.471%	1094922142	1.712%	21139850576	33.046%
43000	24378	0.720%	362400	10.709%	1060278414	1.657%	20044928434	31.335%
44000	23092	0.682%	338022	9.989%	1027370206	1.606%	18984650020	29.677%
45000	21639	0.639%	314930	9.307%	984456510	1.539%	17957279814	28.071%
46000	20570	0.608%	293291	8.667%	956418716	1.495%	16972823304	26.532%
47000	19372	0.572%	272721	8.059%	920080165	1.438%	16016404588	25.037%
48000	18410	0.544%	253349	7.487%	892814351	1.396%	15096324423	23.599%
49000	17150	0.507%	234939	6.943%	848767094	1.327%	14203510072	22.203%
50000	15925	0.471%	217789	6.436%	804094397	1.257%	13354742978	20.876%
51000	15145	0.448%	201864	5.965%	779852011	1.219%	12550648581	19.619%
52000	14165	0.419%	186719	5.518%	743576264	1.162%	11770796570	18.400%
53000	13141	0.388%	172554	5.099%	702957752	1.099%	11027220306	17.238%
54000	12328	0.364%	159413	4.711%	671786464	1.050%	10324262554	16.139%
55000	11530	0.341%	147085	4.347%	639832282	1.000%	9652476090	15.089%
56000	10853	0.321%	135555	4.006%	613153957	0.958%	9012643808	14.089%
57000	10015	0.296%	124702	3.685%	575808139	0.900%	8399489851	13.130%
58000	9276	0.274%	114687	3.389%	542614833	0.848%	7823681712	12.230%
59000	8774	0.259%	105411	3.115%	522030313	0.816%	7281066879	11.382%
60000	7979	0.236%	96637	2.856%	482715058	0.755%	6759036566	10.566%
61000	7568	0.224%	88658	2.620%	465381472	0.727%	6276321508	9.811%
62000	6968	0.206%	81090	2.396%	435434631	0.681%	5810940036	9.084%
63000	6537	0.193%	74122	2.190%	415065531	0.649%	5375505405	8.403%
