#Reads:	38703
#Bases:	499932230
#Max:	18862
#Min:	1340
#Avg:	12917.1
#Median:	12000
#Mode:	12000
#Std_Dev:	913.9
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
1000	7	0.018%	38703	100.000%	11229	0.002%	499932230	100.000%
2000	3	0.008%	38696	99.982%	7962	0.002%	499921001	99.998%
3000	5	0.013%	38693	99.974%	18531	0.004%	499913039	99.996%
4000	4	0.010%	38688	99.961%	17953	0.004%	499894508	99.992%
5000	1	0.003%	38684	99.951%	5126	0.001%	499876555	99.989%
6000	4	0.010%	38683	99.948%	25133	0.005%	499871429	99.988%
7000	2	0.005%	38679	99.938%	15394	0.003%	499846296	99.983%
8000	5	0.013%	38677	99.933%	42741	0.009%	499830902	99.980%
9000	22	0.057%	38672	99.920%	215640	0.043%	499788161	99.971%
10000	144	0.372%	38650	99.863%	1531311	0.306%	499572521	99.928%
11000	5075	13.113%	38506	99.491%	59615217	11.925%	498041210	99.622%
12000	16030	41.418%	33431	86.378%	200420101	40.089%	438425993	87.697%
13000	13100	33.848%	17401	44.960%	176240439	35.253%	238005892	47.608%
14000	4146	10.712%	4301	11.113%	59407072	11.883%	61765453	12.355%
15000	153	0.395%	155	0.400%	2323484	0.465%	2358381	0.472%
16000	1	0.003%	2	0.005%	16035	0.003%	34897	0.007%
18000	1	0.003%	1	0.003%	18862	0.004%	18862	0.004%
