#Reads:	1789131
#Bases:	23122913014
#Max:	26294
#Min:	46
#Avg:	12924.1
#Median:	12000
#Mode:	12000
#Std_Dev:	913.3
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	109	0.006%	1789131	100.000%	26522	0.000%	23122913014	100.000%
1000	159	0.009%	1789022	99.994%	256366	0.001%	23122886492	100.000%
2000	127	0.007%	1788863	99.985%	313115	0.001%	23122630126	99.999%
3000	97	0.005%	1788736	99.978%	343482	0.001%	23122317011	99.997%
4000	109	0.006%	1788639	99.973%	492775	0.002%	23121973529	99.996%
5000	103	0.006%	1788530	99.966%	571479	0.002%	23121480754	99.994%
6000	132	0.007%	1788427	99.961%	859016	0.004%	23120909275	99.991%
7000	190	0.011%	1788295	99.953%	1432111	0.006%	23120050259	99.988%
8000	205	0.011%	1788105	99.943%	1743643	0.008%	23118618148	99.981%
9000	1075	0.060%	1787900	99.931%	10450296	0.045%	23116874505	99.974%
10000	7140	0.399%	1786825	99.871%	75707417	0.327%	23106424209	99.929%
11000	236747	13.233%	1779685	99.472%	2781544387	12.029%	23030716792	99.601%
12000	732781	40.957%	1542938	86.240%	9162796317	39.626%	20249172405	87.572%
13000	608769	34.026%	810157	45.282%	8193672792	35.435%	11086376088	47.945%
14000	193546	10.818%	201388	11.256%	2773277200	11.994%	2892703296	12.510%
15000	7674	0.429%	7842	0.438%	116492629	0.504%	119426096	0.516%
16000	81	0.005%	168	0.009%	1329435	0.006%	2933467	0.013%
17000	46	0.003%	87	0.005%	800820	0.003%	1604032	0.007%
18000	21	0.001%	41	0.002%	385306	0.002%	803212	0.003%
19000	10	0.001%	20	0.001%	194809	0.001%	417906	0.002%
20000	4	0.000%	10	0.001%	81387	0.000%	223097	0.001%
22000	2	0.000%	6	0.000%	44342	0.000%	141710	0.001%
23000	2	0.000%	4	0.000%	46480	0.000%	97368	0.000%
24000	1	0.000%	2	0.000%	24594	0.000%	50888	0.000%
26000	1	0.000%	1	0.000%	26294	0.000%	26294	0.000%
