#Reads:	53003
#Bases:	499417419
#Max:	33017
#Min:	50
#Avg:	9422.4
#Median:	9000
#Mode:	10000
#Std_Dev:	5324.7
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	2561	4.832%	53003	100.000%	1246100	0.250%	499417419	100.000%
1000	2479	4.677%	50442	95.168%	3759113	0.753%	498171319	99.750%
2000	2446	4.615%	47963	90.491%	6091957	1.220%	494412206	98.998%
3000	2528	4.770%	45517	85.876%	8829965	1.768%	488320249	97.778%
4000	2663	5.024%	42989	81.107%	12003582	2.404%	479490284	96.010%
5000	2810	5.302%	40326	76.082%	15494627	3.103%	467486702	93.606%
6000	2968	5.600%	37516	70.781%	19309993	3.867%	451992075	90.504%
7000	3162	5.966%	34548	65.181%	23730019	4.752%	432682082	86.637%
8000	3296	6.219%	31386	59.216%	28034152	5.613%	408952063	81.886%
9000	3528	6.656%	28090	52.997%	33504484	6.709%	380917911	76.272%
10000	3617	6.824%	24562	46.341%	37972518	7.603%	347413427	69.564%
11000	3610	6.811%	20945	39.517%	41509810	8.312%	309440909	61.960%
12000	3453	6.515%	17335	32.706%	43125670	8.635%	267931099	53.649%
13000	3117	5.881%	13882	26.191%	42022061	8.414%	224805429	45.014%
14000	2589	4.885%	10765	20.310%	37518963	7.513%	182783368	36.599%
15000	2229	4.205%	8176	15.426%	34527184	6.913%	145264405	29.087%
16000	1714	3.234%	5947	11.220%	28266703	5.660%	110737221	22.173%
17000	1279	2.413%	4233	7.986%	22346512	4.475%	82470518	16.513%
18000	910	1.717%	2954	5.573%	16816913	3.367%	60124006	12.039%
19000	682	1.287%	2044	3.856%	13268521	2.657%	43307093	8.672%
20000	466	0.879%	1362	2.570%	9542515	1.911%	30038572	6.015%
21000	344	0.649%	896	1.690%	7386121	1.479%	20496057	4.104%
22000	216	0.408%	552	1.041%	4846116	0.970%	13109936	2.625%
23000	145	0.274%	336	0.634%	3396208	0.680%	8263820	1.655%
24000	81	0.153%	191	0.360%	1982002	0.397%	4867612	0.975%
25000	59	0.111%	110	0.208%	1501012	0.301%	2885610	0.578%
26000	31	0.058%	51	0.096%	822548	0.165%	1384598	0.277%
27000	13	0.025%	20	0.038%	356749	0.071%	562050	0.113%
28000	4	0.008%	7	0.013%	113386	0.023%	205301	0.041%
29000	2	0.004%	3	0.006%	58898	0.012%	91915	0.018%
33000	1	0.002%	1	0.002%	33017	0.007%	33017	0.007%
