#Reads:	144238
#Bases:	1359799926
#Max:	33017
#Min:	50
#Avg:	9427.5
#Median:	9000
#Mode:	10000
#Std_Dev:	5319.7
#Read Length Histogram:
#Length	reads	pct_reads	cum_reads	cum_pct_reads	bases	pct_bases	cum_bases	cum_pct_bases
0	6977	4.837%	144238	100.000%	3478531	0.256%	1359799926	100.000%
1000	6864	4.759%	137261	95.163%	10423756	0.767%	1356321395	99.744%
2000	6567	4.553%	130397	90.404%	16377683	1.204%	1345897639	98.978%
3000	6737	4.671%	123830	85.851%	23567031	1.733%	1329519956	97.773%
4000	7134	4.946%	117093	81.180%	32165738	2.365%	1305952925	96.040%
5000	7607	5.274%	109959	76.234%	41924752	3.083%	1273787187	93.675%
6000	8125	5.633%	102352	70.960%	52819504	3.884%	1231862435	90.591%
7000	8574	5.944%	94227	65.327%	64360065	4.733%	1179042931	86.707%
8000	9126	6.327%	85653	59.383%	77591811	5.706%	1114682866	81.974%
9000	9639	6.683%	76527	53.056%	91572596	6.734%	1037091055	76.268%
10000	9939	6.891%	66888	46.373%	104366406	7.675%	945518459	69.534%
11000	9879	6.849%	56949	39.483%	113591843	8.354%	841152053	61.859%
12000	9301	6.448%	47070	32.634%	116210065	8.546%	727560210	53.505%
13000	8486	5.883%	37769	26.185%	114437626	8.416%	611350145	44.959%
14000	7098	4.921%	29283	20.302%	102843859	7.563%	496912519	36.543%
15000	6017	4.172%	22185	15.381%	93149504	6.850%	394068660	28.980%
16000	4688	3.250%	16168	11.209%	77246952	5.681%	300919156	22.130%
17000	3516	2.438%	11480	7.959%	61447614	4.519%	223672204	16.449%
18000	2473	1.715%	7964	5.521%	45676543	3.359%	162224590	11.930%
19000	1780	1.234%	5491	3.807%	34656570	2.549%	116548047	8.571%
20000	1276	0.885%	3711	2.573%	26128778	1.922%	81891477	6.022%
21000	926	0.642%	2435	1.688%	19888220	1.463%	55762699	4.101%
22000	609	0.422%	1509	1.046%	13669521	1.005%	35874479	2.638%
23000	374	0.259%	900	0.624%	8764319	0.645%	22204958	1.633%
24000	225	0.156%	526	0.365%	5504550	0.405%	13440639	0.988%
25000	143	0.099%	301	0.209%	3636118	0.267%	7936089	0.584%
26000	94	0.065%	158	0.110%	2489983	0.183%	4299971	0.316%
27000	37	0.026%	64	0.044%	1016188	0.075%	1809988	0.133%
28000	14	0.010%	27	0.019%	397087	0.029%	793800	0.058%
29000	7	0.005%	13	0.009%	207279	0.015%	396713	0.029%
30000	3	0.002%	6	0.004%	91597	0.007%	189434	0.014%
32000	2	0.001%	3	0.002%	64820	0.005%	97837	0.007%
33000	1	0.001%	1	0.001%	33017	0.002%	33017	0.002%
